Training Sample Size,ROC AUC
50,0.6367771280051981
100,0.5987654320987654
200,0.7082521117608837
400,0.6923326835607537
800,0.7621832358674464
50,0.5396361273554255
100,0.5516569200779726
200,0.6942820012995452
400,0.7413905133203379
800,0.7621832358674464
50,0.5760233918128654
100,0.6371020142949968
200,0.6000649772579598
400,0.6741390513320338
800,0.7621832358674464
50,0.640675763482781
100,0.5987654320987654
200,0.7082521117608837
400,0.6923326835607537
800,0.7621832358674464
50,0.5545808966861598
100,0.6046133853151396
200,0.661143599740091
400,0.7024041585445094
800,0.7621832358674464
50,0.4489928525016244
100,0.5753736192332684
200,0.6552956465237167
400,0.6926575698505524
800,0.7621832358674464
